text,lang,category,detected_lang,nlp_topic,nlp_confidence,Result_topic,Result_lang
The political parties have a significant impact on society.,en,politics,en,politics,0.993282139,1,1
global economy on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.974985301,1,1
government policies on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.487303972,1,1
student welfare on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.616860628,1,1
political parties on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.974688172,1,1
Viimeaikaiset edistysaskeleet political parties ovat olleet huomattavia.,fi,politics,fi,politics,0.762335777,1,1
Viimeaikaiset edistysaskeleet economic policies ovat olleet huomattavia.,fi,economy,fi,economy,0.82993716,1,1
The financial growth have a significant impact on society.,en,economy,en,economy,0.934248686,1,1
Recent advancements in disease prevention have been remarkable.,en,health,en,health,0.957861602,1,1
The market stability have a significant impact on society.,en,economy,en,economy,0.925867736,1,1
Recent advancements in disease prevention have been remarkable.,en,health,en,health,0.957861602,1,1
university programs vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.898346841,1,1
Viimeaikaiset edistysaskeleet school curriculum ovat olleet huomattavia.,fi,education,fi,education,0.983971179,1,1
teacher training on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.899091721,1,1
global economy on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.974985301,1,1
education reform on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.986220419,1,1
Recent advancements in international relations have been remarkable.,en,politics,en,politics,0.484240294,1,1
financial growth on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.904430687,1,1
medical advancements vaikuttaa merkittävästi yhteiskuntaan.,fi,health,fi,health,0.91834712,1,1
nutrition programs on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.695832789,1,1
The medical advancements have a significant impact on society.,en,health,en,health,0.982888639,1,1
Viimeaikaiset edistysaskeleet legislative reforms ovat olleet huomattavia.,fi,politics,fi,education,0.797380567,0,1
Recent advancements in healthcare access have been remarkable.,en,health,en,health,0.987205446,1,1
teacher training on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.899091721,1,1
teacher training vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.951225519,1,1
The legislative reforms have a significant impact on society.,en,politics,en,politics,0.568603933,1,1
public health is a priority for many nations.,en,health,en,health,0.995587885,1,1
economic policies on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.944922924,1,1
political parties on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.974688172,1,1
democratic systems vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.440412223,1,1
The mental well-being have a significant impact on society.,en,health,en,health,0.962900043,1,1
medical advancements vaikuttaa merkittävästi yhteiskuntaan.,fi,health,fi,health,0.91834712,1,1
medical advancements on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.819275141,1,1
global economy vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.974621534,1,1
government policies is a priority for many nations.,en,politics,en,politics,0.814923584,1,1
The mental well-being have a significant impact on society.,en,health,en,health,0.962900043,1,1
student welfare vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.68141979,1,1
Viimeaikaiset edistysaskeleet disease prevention ovat olleet huomattavia.,fi,health,fi,health,0.526398897,1,1
Recent advancements in disease prevention have been remarkable.,en,health,en,health,0.957861602,1,1
university programs on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.901319027,1,1
The democratic systems have a significant impact on society.,en,politics,en,politics,0.869069576,1,1
elections vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.789306641,1,1
international relations is a priority for many nations.,en,politics,en,politics,0.840457857,1,1
trade agreements vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.651388347,1,1
mental well-being is a priority for many nations.,en,health,en,health,0.971007288,1,1
political parties is a priority for many nations.,en,politics,en,politics,0.992519259,1,1
student welfare on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.616860628,1,1
Viimeaikaiset edistysaskeleet education reform ovat olleet huomattavia.,fi,education,fi,education,0.991318226,1,1
financial growth on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.904430687,1,1
trade agreements vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.651388347,1,1
financial growth is a priority for many nations.,en,economy,en,economy,0.974914491,1,1
global economy vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.974621534,1,1
disease prevention on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.854449749,1,1
The elections have a significant impact on society.,en,politics,en,politics,0.972371399,1,1
Recent advancements in medical advancements have been remarkable.,en,health,en,health,0.984410226,1,1
elections vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.789306641,1,1
Viimeaikaiset edistysaskeleet university programs ovat olleet huomattavia.,fi,education,fi,education,0.970322251,1,1
market stability is a priority for many nations.,en,economy,en,economy,0.933553696,1,1
mental well-being on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.803444624,1,1
democratic systems on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.4732849,1,1
market stability vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.823943079,1,1
teacher training vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.951225519,1,1
Viimeaikaiset edistysaskeleet political parties ovat olleet huomattavia.,fi,politics,fi,politics,0.762335777,1,1
Recent advancements in university programs have been remarkable.,en,education,en,education,0.947723806,1,1
mental well-being on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.803444624,1,1
Recent advancements in democratic systems have been remarkable.,en,politics,en,politics,0.874465227,1,1
The investment strategies have a significant impact on society.,en,economy,en,economy,0.763277709,1,1
student welfare vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.68141979,1,1
Viimeaikaiset edistysaskeleet disease prevention ovat olleet huomattavia.,fi,health,fi,health,0.526398897,1,1
Viimeaikaiset edistysaskeleet global economy ovat olleet huomattavia.,fi,economy,fi,economy,0.666582644,1,1
The teacher training have a significant impact on society.,en,education,en,education,0.983247638,1,1
Recent advancements in mental well-being have been remarkable.,en,health,en,health,0.971197009,1,1
The public health have a significant impact on society.,en,health,en,health,0.990646601,1,1
student welfare vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.68141979,1,1
The student welfare have a significant impact on society.,en,education,en,education,0.3983922,1,1
The legislative reforms have a significant impact on society.,en,politics,en,politics,0.568603933,1,1
Recent advancements in student welfare have been remarkable.,en,education,en,education,0.835034013,1,1
elections on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.715916574,1,1
teacher training is a priority for many nations.,en,education,en,education,0.985751033,1,1
medical advancements vaikuttaa merkittävästi yhteiskuntaan.,fi,health,fi,health,0.91834712,1,1
elections is a priority for many nations.,en,politics,en,politics,0.952417552,1,1
school curriculum is a priority for many nations.,en,education,en,education,0.970260501,1,1
The market stability have a significant impact on society.,en,economy,en,economy,0.925867736,1,1
The education reform have a significant impact on society.,en,education,en,education,0.993506968,1,1
trade agreements is a priority for many nations.,en,economy,en,economy,0.729529381,1,1
trade agreements is a priority for many nations.,en,economy,en,economy,0.729529381,1,1
Recent advancements in government policies have been remarkable.,en,politics,en,politics,0.714982867,1,1
teacher training vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.951225519,1,1
healthcare access vaikuttaa merkittävästi yhteiskuntaan.,fi,health,fi,health,0.972756565,1,1
public health on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.982517958,1,1
The government policies have a significant impact on society.,en,politics,en,politics,0.862961113,1,1
The trade agreements have a significant impact on society.,en,economy,en,economy,0.829029739,1,1
Recent advancements in trade agreements have been remarkable.,en,economy,en,economy,0.747843564,1,1
Viimeaikaiset edistysaskeleet university programs ovat olleet huomattavia.,fi,education,fi,education,0.970322251,1,1
elections vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.789306641,1,1
mental well-being on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.803444624,1,1
Recent advancements in financial growth have been remarkable.,en,economy,en,economy,0.930607677,1,1
elections vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.789306641,1,1
teacher training on monien maiden ensisijainen tavoite.,fi,education,fi,education,0.899091721,1,1
democratic systems vaikuttaa merkittävästi yhteiskuntaan.,fi,politics,fi,politics,0.440412223,1,1
trade agreements on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.715088606,1,1
market stability vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.823943079,1,1
nutrition programs is a priority for many nations.,en,health,en,health,0.914847314,1,1
trade agreements vaikuttaa merkittävästi yhteiskuntaan.,fi,economy,fi,economy,0.651388347,1,1
economic policies is a priority for many nations.,en,economy,en,economy,0.987023652,1,1
The teacher training have a significant impact on society.,en,education,en,education,0.983247638,1,1
The mental well-being have a significant impact on society.,en,health,en,health,0.962900043,1,1
public health is a priority for many nations.,en,health,en,health,0.995587885,1,1
healthcare access vaikuttaa merkittävästi yhteiskuntaan.,fi,health,fi,health,0.972756565,1,1
Recent advancements in nutrition programs have been remarkable.,en,health,en,health,0.898973167,1,1
education reform vaikuttaa merkittävästi yhteiskuntaan.,fi,education,fi,education,0.986908853,1,1
Viimeaikaiset edistysaskeleet economic policies ovat olleet huomattavia.,fi,economy,fi,economy,0.82993716,1,1
university programs is a priority for many nations.,en,education,en,education,0.965710938,1,1
The trade agreements have a significant impact on society.,en,economy,en,economy,0.829029739,1,1
The market stability have a significant impact on society.,en,economy,en,economy,0.925867736,1,1
The healthcare access have a significant impact on society.,en,health,en,health,0.992316186,1,1
political parties on monien maiden ensisijainen tavoite.,fi,politics,fi,politics,0.974688172,1,1
teacher training is a priority for many nations.,en,education,en,education,0.985751033,1,1
trade agreements on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.715088606,1,1
Viimeaikaiset edistysaskeleet nutrition programs ovat olleet huomattavia.,fi,health,fi,health,0.512794912,1,1
The medical advancements have a significant impact on society.,en,health,en,health,0.982888639,1,1
international relations on monien maiden ensisijainen tavoite.,fi,politics,fi,economy,0.321864396,0,1
government policies is a priority for many nations.,en,politics,en,politics,0.814923584,1,1
Viimeaikaiset edistysaskeleet government policies ovat olleet huomattavia.,fi,politics,fi,education,0.692091346,0,1
Viimeaikaiset edistysaskeleet elections ovat olleet huomattavia.,fi,politics,fi,politics,0.575739622,1,1
Recent advancements in global economy have been remarkable.,en,economy,en,economy,0.986575127,1,1
Recent advancements in elections have been remarkable.,en,politics,en,politics,0.963372707,1,1
school curriculum is a priority for many nations.,en,education,en,education,0.970260501,1,1
medical advancements on monien maiden ensisijainen tavoite.,fi,health,fi,health,0.819275141,1,1
The education reform have a significant impact on society.,en,education,en,education,0.993506968,1,1
Recent advancements in legislative reforms have been remarkable.,en,politics,en,politics,0.565643847,1,1
global economy on monien maiden ensisijainen tavoite.,fi,economy,fi,economy,0.974985301,1,1
